Position,Annual Salary,Label
Asst Professor,123141.96,Asst Professor
Assoc Professor,122895.6,Assoc Professor
Assoc Professor - Educator,122805.0,Assoc Professor
Professor,122450.76,Professor
Assoc Professor,122369.52,Assoc Professor
Dir Academic,121794.48,Director Academic
Assoc Dean,121634.04,Dean
Asst Professor,121474.32,Asst Professor
Professor - Educator,121404.36,Professor
Professor,121376.28,Professor
Professor,121119.36,Professor
Professor,121080.6,Professor
Professor,121077.36,Professor
Professor,120983.16,Professor
Professor,120947.16,Professor
Professor,120849.72,Professor
Asst Professor - Educator,120732.96,Asst Professor
Professor,120612.36,Professor
Asst Professor,120537.72,Asst Professor
Professor,120515.88,Professor
Professor,120396.6,Professor
Assoc Professor - Clin Geo,120321.96,Assoc Professor
Asst Professor - Clin Geo,120297.0,Asst Professor
Asst Professor - Educator,120272.16,Asst Professor
Assoc Professor,120230.28,Assoc Professor
Assoc Professor,120057.6,Assoc Professor
Dir Academic Med,120000.0,Director Academic
Assoc Professor - Geo,120000.0,Assoc Professor
Professor,119814.36,Professor
Asst VP - Dean of Students,119646.0,Vice President
Assoc Professor - Clin,119270.28,Assoc Professor
Assoc Dean,119250.12,Dean
Professor,119111.88,Professor
Asst Professor - Educator,119021.16,Asst Professor
Professor,118979.16,Professor
Assoc Professor,118965.84,Assoc Professor
Professor,118824.36,Professor
Professor,118692.6,Professor
Professor,118477.56,Professor
Professor,118420.44,Professor
Assoc Professor,118361.88,Assoc Professor
Professor,118288.2,Professor
Assoc Professor,118221.32,Assoc Professor
Professor,118172.4,Professor
Assoc Professor,118040.64,Assoc Professor
Professor,117852.96,Professor
Asst Professor,117836.64,Asst Professor
Assoc Professor,117836.64,Assoc Professor
Assoc Professor - Research,117830.64,Assoc Professor
Assoc Professor,117719.04,Assoc Professor
Sr Asst Dean,117718.2,Dean
Assoc Professor,117699.24,Assoc Professor
Professor,117605.88,Professor
Professor,117598.08,Professor
Professor,117564.96,Professor
Asst Professor,117500.0,Asst Professor
Assoc Professor,116765.52,Assoc Professor
Professor - Geo,116703.04,Professor
Assoc Professor,116674.2,Assoc Professor
Professor,116665.8,Professor
Professor,116562.48,Professor
Professor,116547.84,Professor
Dir Academic,116524.92,Director Academic
Professor,116356.68,Professor
Assoc Professor,116347.8,Assoc Professor
Professor,116149.92,Professor
Assoc Professor,115919.4,Assoc Professor
Professor,115796.88,Professor
Professor,115676.64,Professor
Professor,115482.0,Professor
Asst Professor,115482.0,Asst Professor
Assoc Professor,115482.0,Assoc Professor
Professor,115471.8,Professor
Professor,115469.64,Professor
Professor,115372.2,Professor
Professor,115368.06,Professor
Assoc Dean,115201.28,Dean
Assoc Professor,115185.48,Assoc Professor
Assoc Professor,115039.92,Assoc Professor
Professor,115035.84,Professor
Dir Academic Med,115000.0,Director Academic
Dir Academic Med,115000.0,Director Academic
Dir Academic Med,115000.0,Director Academic
Professor - Educator,114954.12,Professor
Professor,114837.84,Professor
Professor,114764.76,Professor
Assoc Professor,114491.64,Assoc Professor
Professor,114474.72,Professor
Professor,114434.28,Professor
Professor - Geo,114216.04,Professor
Professor - Educator,114104.52,Professor
Assoc Professor,114064.32,Assoc Professor
Asst Professor - Research Geo,114000.0,Asst Professor
Assoc Professor,113903.4,Assoc Professor
Professor - Clin,113871.48,Professor
Asst Professor - Research,113785.13,Asst Professor
Assoc Professor,113713.8,Assoc Professor
Professor,113669.88,Professor
