DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
1,2XX STARK ST,39.1202749455105,-84.5251045948105,OVER-THE-RHINE,OVER-THE-RHINE,2490,139050001,1,"CINC, OH 45211",BLACK,MALE,33,NONFATAL,12/27/2013 12:00:00 AM,DEC,202000,20,FRI,139050001,12/27/2013 08:20:00 PM,DISTRICT 1,45214,OTR
3,36XX MCHENRY AV,39.1502758841039,-84.5628562573725,EAST WESTWOOD,EAST WESTWOOD,3037,159013497,1,"CINCINNATI, OH 45211",BLACK,MALE,23,FATAL,05/27/2015 12:00:00 AM,MAY,230000,23,WED,159013497,05/27/2015 11:00:00 PM,DISTRICT 3,45225,EAST WESTWOOD
4,78XX NEWBEDFORD AV,39.2056499578346,-84.4570629285016,ROSELAWN,ROSELAWN,2811,149028147,1,"CINC, OH 45237",BLACK,FEMALE,24,NONFATAL,11/03/2014 12:00:00 AM,NOV,173100,17,MON,149028147,11/03/2014 05:31:00 PM,DISTRICT 4,45237,ROSELAWN
2,36XX NORTHDALE PL,39.1811254040028,-84.4140067191761,KENNEDY HEIGHTS,KENNEDY HEIGHTS,63,20801341,1,,WHITE,MALE,50,NONFATAL,03/27/2008 12:00:00 AM,MAR,,N/A,THU,20801341,03/27/2008 12:00:00 AM,DISTRICT 2,45213,KENNEDY HEIGHTS
5,44XX COLERAIN AV,39.1635807925639,-84.5534243952012,NORTHSIDE,MT. AIRY,4479,189030513,1,,BLACK,FEMALE,24,NONFATAL,11/18/2018 12:00:00 AM,NOV,101500,10,SUN,189030513,11/18/2018 10:15:00 AM,DISTRICT 5,,NORTHSIDE
3,38XX PRESIDENT DR,39.1548617233331,-84.559491524938,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,3888,179011339,1,,BLACK,FEMALE,27,NONFATAL,04/04/2017 12:00:00 AM,APR,015800,1,TUE,179011339,04/04/2017 01:58:00 AM,DISTRICT 3,,VILLAGES AT ROLL HILL
0,XX FOUNTAIN SQUARE PL,39.1017297650428,-84.5114930985805,CBD/RIVERFRONT,DOWNTOWN,4409,189024437,5,,OTHER,MALE,25,FATAL,09/06/2018 12:00:00 AM,SEP,091100,9,THU,189024437,09/06/2018 09:11:00 AM,CENTRAL BUSINESS SECTION,,DOWNTOWN
3,39XX YEARLING CT,39.1542168444529,-84.575923329809,WESTWOOD,WESTWOOD,577,30904642,1,,BLACK,MALE,21,NONFATAL,05/25/2009 12:00:00 AM,MAY,,N/A,MON,30904642,05/25/2009 12:00:00 AM,DISTRICT 3,45211,WESTWOOD
4,8XX LINCOLN AV,39.132030144149,-84.4919442656399,WALNUT HILLS,WALNUT HILLS,458,40900830,1,,BLACK,MALE,26,NONFATAL,02/08/2009 12:00:00 AM,FEB,,N/A,SUN,40900830,02/08/2009 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
3,5XX ELBERON AV,39.1027222311305,-84.5662775814123,EAST PRICE HILL,EAST PRICE HILL,339,30810596,1,,WHITE,MALE,18,FATAL,10/17/2008 12:00:00 AM,OCT,,N/A,FRI,30810596,10/17/2008 12:00:00 AM,DISTRICT 3,45205,EAST PRICE HILL
4,16XX SPARKLE DR,39.2052216357439,-84.4584639502414,ROSELAWN,ROSELAWN,4570,199005084,1,,BLACK,MALE,21,FATAL,03/13/2019 12:00:00 AM,MAR,201800,20,WED,199005084,03/13/2019 08:18:00 PM,DISTRICT 4,,ROSELAWN
2,60XX KENNEDY AV,39.1806448355479,-84.4154516539012,KENNEDY HEIGHTS,KENNEDY HEIGHTS,2801,149027215,1,"CINTI, OH 45236",BLACK,MALE,20,NONFATAL,10/24/2014 12:00:00 AM,OCT,195600,19,FRI,149027215,10/24/2014 07:56:00 PM,DISTRICT 2,45213,KENNEDY HEIGHTS
4,6XX MAPLE AV,39.1417494378431,-84.4946063121079,AVONDALE,AVONDALE,3224,159026906,1,"CINCINNATI, OH 45229",BLACK,MALE,19,NONFATAL,09/29/2015 12:00:00 AM,SEP,212600,21,TUE,159026906,09/29/2015 09:26:00 PM,DISTRICT 4,,AVONDALE
4,7XX RIDGEWAY AV,39.1395256592203,-84.4930369652031,AVONDALE,AVONDALE,821,40908751,1,,BLACK,MALE,22,NONFATAL,12/20/2009 12:00:00 AM,DEC,,N/A,SUN,40908751,12/20/2009 12:00:00 AM,DISTRICT 4,45229,AVONDALE
4,33XX READING RD,39.1416405208116,-84.493527479975,AVONDALE,AVONDALE,4494,189031996,1,,BLACK,MALE,40,NONFATAL,12/06/2018 12:00:00 AM,DEC,194500,19,THU,189031996,12/06/2018 07:45:00 PM,DISTRICT 4,,AVONDALE
4,24XX CONCORD ST,39.1261898154894,-84.494274234858,WALNUT HILLS,WALNUT HILLS,359,40808190,1,,BLACK,MALE,39,NONFATAL,10/29/2008 12:00:00 AM,OCT,,N/A,WED,40808190,10/29/2008 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
4,70XX EASTLAWN DR,39.189865442344,-84.4575267462314,ROSELAWN,ROSELAWN,4169,179053076,2,,BLACK,MALE,22,FATAL,12/11/2017 12:00:00 AM,DEC,010900,1,MON,179053076,12/11/2017 01:09:00 AM,DISTRICT 4,,ROSELAWN
5,53XX EASTKNOLL CT,39.1878662660362,-84.5726848581657,MT AIRY,MT. AIRY,3707,169028064,2,,BLACK,MALE,35,NONFATAL,10/26/2016 12:00:00 AM,OCT,220000,22,WED,169028064,10/26/2016 10:00:00 PM,DISTRICT 5,,MOUNT AIRY
4,25XX HEMLOCK ST,39.1264226291634,-84.4929455028485,WALNUT HILLS,WALNUT HILLS,988,41003114,1,,BLACK,MALE,27,NONFATAL,05/29/2010 12:00:00 AM,MAY,,N/A,SAT,41003114,05/29/2010 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
3,36XX MAYFIELD AV,39.1150765662326,-84.5712567636049,EAST PRICE HILL,EAST PRICE HILL,1063,31007664,2,"CINC, OH 45205",OTHER,MALE,22,NONFATAL,08/06/2010 12:00:00 AM,AUG,,N/A,FRI,31007664,08/06/2010 12:00:00 AM,DISTRICT 3,45205,EAST PRICE HILL
3,32XX MAYRIDGE CT,39.1438119737802,-84.6081333163476,WESTWOOD,WESTWOOD,4094,179041240,1,,WHITE,MALE,23,NONFATAL,10/03/2017 12:00:00 AM,OCT,004500,0,TUE,179041240,10/03/2017 12:45:00 AM,DISTRICT 3,,WESTWOOD
4,7XX WHITTIER AV,39.1379453956269,-84.495106357136,AVONDALE,AVONDALE,2478,139033573,1,"CINC, OH 45225",BLACK,MALE,19,FATAL,12/14/2013 12:00:00 AM,DEC,095500,9,SAT,139033573,12/14/2013 09:55:00 AM,DISTRICT 4,45229,AVONDALE
1,XX E. 15TH ST,39.1129293952641,-84.5139302475716,OVER-THE-RHINE,OVER-THE-RHINE,4305,189014647,2,,BLACK,MALE,36,FATAL,06/03/2018 12:00:00 AM,JUN,022900,2,SUN,189014647,06/03/2018 02:29:00 AM,DISTRICT 1,,OTR
1,18XX ELM ST,39.1158084399675,-84.5207093712936,OVER-THE-RHINE,OVER-THE-RHINE,2346,139021494,4,"CINC, OH 45202",BLACK,MALE,14,NONFATAL,08/12/2013 12:00:00 AM,AUG,230400,23,MON,139021494,08/12/2013 11:04:00 PM,DISTRICT 1,45202,OTR
4,35XX WILSON AV,39.1470244867518,-84.5027771985472,AVONDALE,AVONDALE,2383,139025966,2,"FAIRFIELD, OH 45014",BLACK,MALE,20,NONFATAL,09/18/2013 12:00:00 AM,SEP,140000,14,WED,139025966,09/18/2013 02:00:00 PM,DISTRICT 4,45229,AVONDALE
4,11XX CALIFORNIA AV,39.1753041185931,-84.4785733565215,BOND HILL,BOND HILL,3421,169007027,1,"CINCINNATI, OH 45227",BLACK,MALE,35,NONFATAL,03/27/2016 12:00:00 AM,MAR,030000,3,SUN,169007027,03/27/2016 03:00:00 AM,DISTRICT 4,,BOND HILL
1,12XX MAIN ST,39.109212384116,-84.5106093610271,OVER-THE-RHINE,OVER-THE-RHINE,2607,149010639,1,"CINCINNATI, OH 45205",BLACK,MALE,30,NONFATAL,05/10/2014 12:00:00 AM,MAY,022500,2,SAT,149010639,05/10/2014 02:25:00 AM,DISTRICT 1,45202,OTR
