czname,state,county,cz,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc2016,med_hhinc1990,poor_share2010,poor_share2000,poor_share1990,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,nonwhite_share2010,popdensity2010,popdensity2000,ann_avg_job_growth_2004_2013,job_density_2013,state_name,alpha,remark
Baton Rouge,22.0,70.4,3500.0,63898.44300000001,30.372353600000004,0.1463600585,0.175492281,0.017362373790000003,51161.664860367484,22412.894912165204,0.17433520600000002,0.19956294,0.24626830900000002,0.3743540844,0.02481964185,0.0056236622440000005,0.3551332602,0.621343803,0.01277714371,0.003878547969,2.0012629449999997,713.178128,0.37275697900000004,0.24402505,0.317202029,0.25532318800000003,0.5404417239999999,70.69344600000001,0.043357475599999994,0.412648865,201.88839310000003,175.93919660000003,0.014875118610000002,94.05703018,Louisiana ,LA ,State; parishes
Houma,22.0,68.5,3400.0,60772.41100000001,25.123089750000002,0.105130307,0.11798507575,0.023542694725000004,48781.60739546382,21897.4967640805,0.17940467999999998,0.198389655,0.24736230750000002,0.24337340000000002,0.03802016749999999,0.0087496369,0.22685114,0.7186926299999999,0.0159116615,0.008280157525,2.5943538999999998,695.319825,0.36183630499999997,0.227608495,0.2918677075,0.36713779,0.5267417125,73.55792975,0.10579149950000001,0.32564251,87.13389775000002,83.61391275,0.007346450025,37.85878675,Louisiana ,LA ,State; parishes
Jena,22.0,42.0,3201.0,49532.5745,30.791028,0.1032962805,0.118825305,0.005816251299999999,37317.76496847933,16935.407581345105,0.18554551,0.23572996,0.29085037,0.21924043000000001,0.01543885495,0.0007149867149999999,0.19808218,0.782877865,0.0087753888,0.0014515499849999999,2.30543805,519.514235,0.305325125,0.214258485,0.25412541499999997,0.372563345,0.45358944,74.46839150000001,0.008973605,0.24586592499999999,19.26728,19.142906,0.009056240649999998,7.82455745,Louisiana ,LA ,State; parishes
Lake Charles,22.0,37.333333333333336,3700.0,59158.19083333333,26.92560016666667,0.11965668349999999,0.13754725116666666,0.0198425855,49261.31106606822,21585.151718873847,0.1501555516666667,0.16221145166666665,0.20938136666666665,0.16463228783333334,0.029789620833333336,0.006209932154999999,0.16159881966666667,0.790011425,0.025584066333333332,0.005157648483333333,2.8525612000000002,592.2750920000001,0.297455875,0.17363024566666665,0.2576614183333334,0.36601003000000004,0.49950232666666666,73.78769316666667,0.1153537692,0.22294879066666665,56.62411601666667,55.11660753333334,-0.006977255963333334,22.405730416666668,Louisiana ,LA ,State; parishes
Lake Providence,22.0,79.0,3902.0,45741.971000000005,23.663785999999998,0.105902087,0.0904508275,0.00852860255,30436.25083974714,12680.614083881374,0.301749245,0.30351018,0.415462565,0.425528005,0.0210675335,0.0037833659,0.41779584000000003,0.5622825,0.012883844,0.00216687315,1.4479963599999999,481.45471,0.4868743,0.309707045,0.36988598,0.51966034,0.41140418999999995,76.350273,,0.456039855,25.354002,28.3163415,-0.0216983687,7.3975456,Louisiana ,LA ,State; parishes
Many,22.0,85.0,4004.0,52753.402,31.647787,0.11071384,0.11586843,0.010657881999999999,42578.00804687823,16782.50384471819,0.20663741,0.21465339,0.26862121,0.17348243,0.033838152999999996,0.0018569719,0.16629665,0.71639752,0.027363422999999998,0.0016399828,2.2173386,450.9534,0.31166491,0.20757683,0.28578734,0.33887708,0.47130665,73.809799,,0.30772087,27.961369,27.068284999999996,-0.001862695,9.8873835,Louisiana ,LA ,State; parishes
New Orleans,22.0,86.77777777777777,3300.0,69420.62544444443,28.940582444444445,0.16667149366666667,0.18728033033333336,0.040947802633333336,51108.8088453831,26892.596639099538,0.15895871955555554,0.16627222200000003,0.19246952444444446,0.3347894533333333,0.054443364111111114,0.015177853033333334,0.2984968411111111,0.6478218544444444,0.03002959704444445,0.01097696287222222,2.6488921111111114,826.1489888888889,0.3821769822222222,0.23648835222222223,0.3170953122222222,0.2859591911111111,0.5536017577777778,72.54204655555556,0.08625534977777777,0.41919634222222224,496.76400422222235,596.0310262222222,-0.008714146873000001,226.24074311111116,Louisiana ,LA ,State; parishes
Ruston,22.0,79.0,4003.0,53099.00633333333,24.086169,0.18539949366666666,0.19114242999999997,0.018432433433333336,37100.30617747401,18739.876081860275,0.21924528,0.22365683333333333,0.25311474,0.34020246,0.017985616,0.0056201037,0.32392165,0.6543811,0.008848805533333332,0.005244401293333333,2.3484149000000003,581.7698766666666,0.37229869666666665,0.24638937666666663,0.32159799333333333,0.4012219833333333,0.48554958666666664,71.01933566666666,-0.06504431533333334,0.3743433566666667,47.92602266666666,44.981019333333336,0.0024645726666666667,18.959083466666666,Louisiana ,LA ,State; parishes
Shreveport,22.0,46.5,4002.0,55903.34125,27.272384000000002,0.14122162787499998,0.15848001125,0.013770758325,38455.009752107384,19597.017251474834,0.22585866500000001,0.23114219125000002,0.27290376625,0.39794024875,0.0224012923625,0.0043467053725,0.37591697749999997,0.5960624524999999,0.013866809637500001,0.00332009612625,1.7845458925000002,622.81990875,0.42785733624999994,0.28588585125,0.3686655875,0.34129919875,0.49723639750000004,74.783958,0.11195035857142857,0.43704941875000003,78.21488224999999,75.287059,-0.0019681559875000003,31.439704575000004,Louisiana ,LA ,State; parishes
Allentown,42.0,65.66666666666667,19000.0,75499.66766666666,26.717367999999997,0.18761740666666668,0.22501975333333335,0.061052968333333325,59051.70081330429,32160.541755539565,0.10521932233333332,0.08843982433333332,0.07708796866666667,0.04233751533333333,0.108445312,0.017087172933333335,0.024420236433333336,0.8940421733333334,0.06087039166666667,0.012100266133333334,3.3499317333333334,940.7966066666667,0.28057767,0.16871477333333332,0.24857843333333332,0.28801625000000003,0.59401888,83.93792466666667,0.025796573666666666,0.17884607133333333,663.0045066666667,593.59159,0.005480074800000001,318.789375,Pennsylvania ,PA ,State; counties
Altoona,42.0,38.5,16200.0,57881.586,23.708222,0.1214392675,0.15290808250000001,0.0095737123,46257.6061063257,22605.04588913197,0.13239622,0.11629913750000001,0.136624995,0.02477849165,0.010871987525000001,0.0035451665000000004,0.015293131549999998,0.9710954399999999,0.006323691100000001,0.00291705115,3.71598735,612.393035,0.270434305,0.16404954249999998,0.2322956625,0.36862605249999997,0.5406167275,87.11030199999999,0.11128816433333333,0.04506399625,142.988676,147.78687374999998,-0.006273006750000001,61.80117224999999,Pennsylvania ,PA ,State; counties
Cumberland,42.0,27.0,17501.0,56463.372200000005,26.2515358,0.12207099819999997,0.13557545180000002,0.008500267660000001,41746.777260919866,21811.225856095967,0.142010282,0.14420226200000003,0.14980656200000003,0.034609209739999994,0.01461088992,0.0034736878,0.024985361,0.961195766,0.005945671799999999,0.00223271466,3.4137813,590.3150400000001,0.338636912,0.16745141800000002,0.239221996,0.372833406,0.55388915,80.43744820000002,0.0776823544,0.0604221672,71.736827,70.1601576,-0.00757772966,29.674607200000004,Pennsylvania ,PA ,State; counties
